"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\Date.cpp", "C++", 139, 0, 0, 36, 25, 200
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\Date.hpp", "C++", 35, 0, 0, 0, 5, 40
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FilePath.cpp", "C++", 39, 0, 0, 5, 10, 54
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FilePath.hpp", "C++", 39, 0, 0, 5, 10, 54
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FileStream.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FileStream.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ID3.hpp", "C++", 38, 0, 0, 13, 14, 65
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\asset.cpp", "C++", 789, 0, 0, 205, 244, 1238
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\asset.hpp", "C++", 128, 0, 0, 15, 13, 156
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\balloon.cpp", "C++", 1352, 0, 0, 560, 422, 2334
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\balloon.hpp", "C++", 57, 0, 0, 41, 6, 104
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\binary_dump.cpp", "C++", 8, 0, 0, 0, 3, 11
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\binary_dump.hpp", "C++", 10, 0, 0, 0, 2, 12
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmap.cpp", "C++", 41, 0, 0, 2, 15, 58
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmap.hpp", "C++", 42, 0, 0, 0, 7, 49
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmapRender.cpp", "C++", 52, 0, 0, 3, 13, 68
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmapRender.hpp", "C++", 32, 0, 0, 9, 7, 48
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitstream.cpp", "C++", 185, 0, 0, 46, 59, 290
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitstream.hpp", "C++", 49, 0, 0, 4, 18, 71
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bytestream.cpp", "C++", 241, 0, 0, 4, 55, 300
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bytestream.hpp", "C++", 68, 0, 0, 3, 9, 80
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\error.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\error.hpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\filewrite.cpp", "C++", 26, 0, 0, 7, 12, 45
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\filewrite.hpp", "C++", 13, 0, 0, 0, 2, 15
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\h264.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\h264.hpp", "C++", 8, 0, 0, 0, 3, 11
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\jparse.cpp", "C++", 465, 0, 0, 75, 85, 625
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\jparse.hpp", "C++", 68, 0, 0, 5, 13, 86
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\jpg.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\linked_map.hpp", "C++", 84, 0, 0, 49, 18, 151
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\main.cpp", "C++", 10, 0, 0, 10, 7, 27
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\micro_vector.h", "C++", 55, 0, 0, 16, 12, 83
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mov.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mov.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp3.cpp", "C++", 142, 0, 0, 16, 53, 211
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp3.hpp", "C++", 56, 0, 0, 0, 9, 65
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp4.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp4.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\msutil.hpp", "C++", 172, 0, 0, 20, 43, 235
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\nal.cpp", "C++", 35, 0, 0, 5, 7, 47
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\nal.hpp", "C++", 13, 0, 0, 7, 2, 22
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\png.cpp", "C++", 50, 0, 0, 17, 16, 83
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\png.hpp", "C++", 20, 0, 0, 0, 2, 22
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\porcupinetree.vcxproj", "XML", 0, 185, 0, 0, 0, 185
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\realigned_buffer.hpp", "C++", 31, 0, 0, 16, 9, 56
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttf.cpp", "C++", 289, 0, 0, 107, 87, 483
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttf.hpp", "C++", 111, 0, 0, 10, 15, 136
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttfRender.cpp", "C++", 234, 0, 0, 66, 69, 369
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttfRender.hpp", "C++", 24, 0, 0, 0, 5, 29
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\types.hpp", "C++", 15, 0, 0, 3, 7, 25
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\x64\Debug\porcupinetree.log", "Log", 0, 0, 25, 0, 3, 28
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\x64\Release\porcupinetree.log", "Log", 0, 0, 157, 0, 21, 178
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\xml.cpp", "C++", 584, 0, 0, 69, 134, 787
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\xml.hpp", "C++", 95, 0, 0, 8, 18, 121
"Total", "-", 5951, 185, 182, 1457, 1596, 9371